编号,级别,领域,风险,证据,建议,状态
R001,P1,SAP同步,22:00同时存在systemd timer和cron,/etc/systemd/system/firefox-sap-sync.timer与/etc/cron.d/firefox-sap-sync,人工确认唯一调度入口并验证互斥,待确认
R002,P1,部署,生产运行文件与服务器Git提交不一致,生产Git为e2d618c但运行文件为后续直传,建立可追溯发布与回滚基线,待确认
R003,P1,数据库,216张表无实际外键且foreign_keys关闭,生产只读schema检查,设计关系完整性治理方案,待确认
R004,P1,安全,POST请求未发现CSRF token,portal_v2.py认证与POST路由检查,增加CSRF机制并分阶段验证,待确认
R005,P1,安全,会话无明确过期与服务端撤销,签名Cookie仅包含用户ID,引入过期与会话撤销,待确认
R006,P1,网络,多个管理型容器端口公网监听,ss与docker ps只读检查,核对安全组并收敛监听,待确认
R007,P1,知识库,新版文件AI处理表全部为0,生产数据库只读计数,人工选取非敏感文件验收全链路,待确认
R008,P1,主数据,六类标准档案表全部为0,生产数据库只读计数,先做SAP对象匹配与人工确认,待确认
R009,P2,AI智能体,8个智能体只有1次运行,生产数据库只读计数,逐角色做证据权限审批验收,待确认
R010,P2,可靠性,近7天Web日志出现21次Traceback,journalctl只读统计,分类定位并建立错误率监控,待确认
R011,P2,架构,约2.5万行单文件承载全部系统,portal_v2.py静态检查,制定不改变行为的模块化路线,待确认
R012,P2,导航,大量旧首页和重复路由仍存在,路由静态清单,建立正式路由目录并逐步下线旧入口,待确认
R013,P2,SAP同步,最近稳定执行历史不足7次,sap_sync_history仅5条,补齐连续观察与对账证据,待确认
R014,P2,知识处理,未发现22:30独立知识任务,systemd和cron只读扫描,明确设计时间与真实任务状态,待确认
R015,P2,安全,CSP允许unsafe-inline,响应头代码检查,逐步移除内联脚本和样式,待确认
R016,P2,数据质量,成功同步记录口径约128万但门户业务表规模明显不同,只读同步历史与表计数,解释读取写入口径并形成对账表,待确认
R017,P3,前端,旧页面存在英文技术词与乱码片段,静态页面代码检查,纳入文案治理清单,待确认

